student_id,first_name,last_name,program,year_level,email,phone_num,gender,age,cgpa
825924223,Judy,Compton,Digital Media,2,judy.compton@outlook.com,(749) 970-7769,F,22,8.62
778711926,Bradley,Marsh,Astronomy,1,bradley.marsh@yahoo.com,(574) 149-8437,M,26,7.32
778809645,James,Humphrey,Software Development,4,james.humphrey@abc.edu,(267) 960-3654,M,24,7.23
213687024,Melissa,Shannon,Computer Engineering,4,melissa.shannon@gmail.com,(979) 793-1719,F,20,7.81
930198107,Lawrence,Cohen,Applied Statistics,2,lawrence.cohen@msn.com,(394) 775-9355,O,27,7.61
147081110,Christina,Whitehead,Digital Media,3,christina.whitehead@abc.edu,(984) 259-6879,F,27,6.58
476501511,Alexis,Snyder,Mechanical Engineering,3,alexis.snyder@msn.com,(497) 375-5484,O,22,7.73
692149055,Heather,Becker,Applied Statistics,3,heather.becker@yahoo.com,(806) 568-7798,F,27,7.76
857550903,Edward,Finley,Physics,3,edward.finley@abc.edu,(497) 927-1823,M,18,7.72
646417956,Sarah,Stephenson,Computer Security,3,sarah.stephenson@msn.com,(189) 842-5509,F,23,7.75
839692506,Mary,Zamora,Computer Science,2,mary.zamora@yahoo.com,(803) 939-5410,F,19,7.01
597928728,Rebecca,Jarvis,Applied Mathematics,3,rebecca.jarvis@abc.edu,(383) 993-6441,F,29,7.93
470274319,Samuel,Garrison,Digital Media,3,samuel.garrison@abc.edu,(363) 212-1463,M,24,7.97
427892728,Andrea,Dorsey,Astronomy,3,andrea.dorsey@abc.edu,(245) 308-1121,F,23,7.7
750002093,Andrea,Arroyo,Mechanical Engineering,3,andrea.arroyo@outlook.com,(479) 285-2403,F,23,7.37
164357426,Juan,Berry,Astronomy,4,juan.berry@abc.edu,(942) 209-3196,M,21,7.01
556572498,Doris,Summers,Applied Mathematics,2,doris.summers@yahoo.com,(512) 894-6879,F,23,7.18
196337710,Christine,Dudley,Applied Statistics,3,christine.dudley@gmail.com,(283) 781-9142,F,29,7.66
327619621,Victoria,Campbell,Electrical Engineering,2,victoria.campbell@abc.edu,(572) 559-5859,F,24,6.7
873553410,Ann,Mejia,Computer Engineering,3,ann.mejia@gmail.com,(770) 623-7895,F,25,7.25
979956440,Kenneth,Jackson,Digital Media,1,kenneth.jackson@outlook.com,(888) 240-8437,M,24,7.54
399075189,Linda,Myers,Biophysics,4,linda.myers@abc.edu,(841) 994-6552,F,25,7.43
421918114,Joseph,Herrera,Physics,3,joseph.herrera@gmail.com,(320) 620-8809,M,18,7.92
521060687,Brenda,Galvan,Astronomy,3,brenda.galvan@abc.edu,(813) 575-9405,F,26,8.11
730638261,Eugene,Brandt,Software Development,2,eugene.brandt@yahoo.com,(777) 338-1439,O,23,7.58
611481869,Sandra,Acosta,Applied Mathematics,2,sandra.acosta@outlook.com,(189) 935-3736,O,21,7.83
761118168,Donna,Becker,Electrical Engineering,3,donna.becker@abc.edu,(513) 969-2704,F,27,7.94
226851210,Janice,Livingston,Chemical Engineering,3,janice.livingston@outlook.com,(928) 640-8319,F,26,6.91
593415200,Michael,Dunlap,Digital Media,4,michael.dunlap@abc.edu,(368) 297-4234,O,25,7.86
201254718,Danielle,Alexander,Digital Media,2,danielle.alexander@abc.edu,(339) 174-1131,F,18,7.27
391323223,Ashley,Hughes,Software Development,3,ashley.hughes@outlook.com,(316) 565-5481,F,19,7.03
607236889,Doris,Hubbard,Computer Security,2,doris.hubbard@abc.edu,(235) 762-2147,F,25,7.73
577537507,John,Yates,Computer Science,1,john.yates@abc.edu,(905) 216-1321,M,26,7.85
801629187,Dennis,Colon,Artificial Intelligence,3,dennis.colon@gmail.com,(143) 470-1525,M,26,7.54
830648037,Zachary,Baxter,Applied Statistics,2,zachary.baxter@msn.com,(831) 272-9466,M,27,6.9
276775233,Timothy,Solis,Artificial Intelligence,3,timothy.solis@yahoo.com,(365) 159-9302,M,21,8.24
337938230,Victoria,Pruitt,Geological Engineering,1,victoria.pruitt@abc.edu,(964) 313-5957,F,25,8.07
124973030,Heather,Glenn,Software Development,2,heather.glenn@abc.edu,(504) 257-6832,F,25,7.09
302439627,James,Rivers,Astronomy,2,james.rivers@gmail.com,(185) 587-1385,M,23,7.47
135822943,Scott,Mercado,Physics,3,scott.mercado@abc.edu,(140) 656-5365,O,28,7.85
824972140,Debra,Gibbs,Statistics,3,debra.gibbs@abc.edu,(872) 817-9541,F,22,7.1
469327676,Madison,Short,Applied Mathematics,2,madison.short@hotmail.com,(911) 615-5510,F,22,7.12
812252932,Martha,Grant,Astronomy,4,martha.grant@gmail.com,(315) 885-8314,F,22,8.16
147105252,Virginia,Peck,Computer Security,3,virginia.peck@abc.edu,(427) 463-8131,F,28,7.41
559279554,Mary,Solis,Statistics,3,mary.solis@gmail.com,(426) 223-9583,F,26,8.28
302128766,Walter,Green,Digital Media,4,walter.green@abc.edu,(505) 601-3648,M,25,6.78
531012677,Justin,Brennan,Mechanical Engineering,2,justin.brennan@gmail.com,(757) 950-9677,M,21,7.32
140215932,Alan,Patterson,Computer Engineering,3,alan.patterson@yahoo.com,(756) 414-6500,M,22,7.04
686683009,Richard,Lim,Chemical Engineering,2,richard.lim@gmail.com,(113) 544-7869,M,27,7.33
418697877,Philip,Callahan,Statistics,2,philip.callahan@outlook.com,(787) 417-8600,M,27,7.88
383230831,Carol,Ali,Data Science,2,carol.ali@msn.com,(287) 672-7612,F,26,7.01
297735466,Andrea,Cantu,Computer Security,2,andrea.cantu@hotmail.com,(898) 798-1598,F,25,7.92
361889196,Amy,Griffin,Computer Science,3,amy.griffin@abc.edu,(711) 599-1574,F,25,8.17
989085025,Pamela,Mahoney,Physics,3,pamela.mahoney@abc.edu,(423) 961-8741,F,28,7.49
921580585,Raymond,Love,Computer Science,3,raymond.love@abc.edu,(826) 307-5696,M,24,7.43
914116001,Stephanie,Santiago,Physics,3,stephanie.santiago@outlook.com,(872) 225-5063,F,21,6.97
477821981,Lisa,Flores,Physics,4,lisa.flores@abc.edu,(251) 125-5710,F,26,7.15
781078908,Sandra,Hudson,Computer Science,4,sandra.hudson@abc.edu,(562) 948-5978,F,21,7.71
629083507,Russell,Correa,Applied Statistics,3,russell.correa@yahoo.com,(535) 184-4660,M,26,7.93
414335642,Marilyn,Zamora,Civil Engineering,2,marilyn.zamora@abc.edu,(226) 695-3283,F,29,7.93
927067899,Zachary,Hawkins,Artificial Intelligence,3,zachary.hawkins@abc.edu,(382) 660-8701,M,20,7.71
467664607,Olivia,Hardy,Physics,3,olivia.hardy@abc.edu,(161) 668-1970,F,25,7.25
605803437,Eugene,Odonnell,Applied Mathematics,3,eugene.odonnell@abc.edu,(330) 921-6240,M,26,8.02
334190093,Jack,Ortiz,Software Development,3,jack.ortiz@abc.edu,(518) 964-6325,M,21,7.97
539723795,Douglas,Bennett,Biophysics,4,douglas.bennett@abc.edu,(655) 304-3216,M,21,7.88
776636852,Jesse,Sanchez,Electrical Engineering,3,jesse.sanchez@abc.edu,(667) 634-2040,M,25,6.01
603625373,Scott,Garcia,Software Development,3,scott.garcia@outlook.com,(241) 994-7382,M,21,6.94
216449176,Patrick,Decker,Computer Engineering,4,patrick.decker@abc.edu,(386) 972-4159,M,23,8.12
360896225,Margaret,Wolfe,Statistics,3,margaret.wolfe@abc.edu,(548) 600-2290,F,24,6.77
234490559,Jordan,Tran,Computer Security,3,jordan.tran@yahoo.com,(814) 795-8581,M,21,7.32
604606135,Kelly,Kerr,Data Analytics,2,kelly.kerr@abc.edu,(778) 824-8075,F,22,6.89
586418418,Mary,Gilmore,Applied Statistics,2,mary.gilmore@yahoo.com,(901) 852-5389,F,18,7.54
214061086,Madison,Rice,Data Analytics,3,madison.rice@abc.edu,(888) 636-4006,F,26,7.62
454729825,Bradley,Kaur,Chemical Engineering,3,bradley.kaur@gmail.com,(905) 774-3369,M,21,6.93
290208350,Russell,Hill,Electrical Engineering,1,russell.hill@abc.edu,(837) 407-2913,M,26,8.52
691858261,Peter,Martin,Applied Statistics,4,peter.martin@abc.edu,(944) 167-5155,M,19,6.86
928470782,Kelly,Rosario,Data Science,3,kelly.rosario@gmail.com,(611) 290-9067,F,29,6.84
313842144,Alice,Espinosa,Digital Media,3,alice.espinosa@abc.edu,(171) 811-7799,F,25,8.05
115837634,Martha,Terry,Mechanical Engineering,3,martha.terry@abc.edu,(853) 171-6283,F,26,7.75
733647131,Roger,Snow,Digital Media,3,roger.snow@yahoo.com,(869) 931-8537,M,19,7.51
389176342,Larry,Durham,Civil Engineering,2,larry.durham@msn.com,(260) 899-8998,M,26,7.1
977383993,Dylan,Harding,Civil Engineering,4,dylan.harding@abc.edu,(219) 442-9983,M,27,7.28
461451516,Bobby,Nolan,Electrical Engineering,2,bobby.nolan@abc.edu,(118) 739-8101,M,22,8.32
743917915,Jesse,Sampson,Computer Science,3,jesse.sampson@abc.edu,(158) 664-2328,M,27,7.53
518121753,Katherine,Whitehead,Mechanical Engineering,2,katherine.whitehead@abc.edu,(751) 329-9896,F,30,8.38
879129338,Patricia,Moran,Digital Media,3,patricia.moran@msn.com,(281) 365-1555,O,22,7.49
163279740,Kevin,Turner,Biophysics,3,kevin.turner@abc.edu,(165) 636-3123,M,23,7.06
105492788,George,Duke,Biophysics,3,george.duke@msn.com,(369) 609-4625,M,23,7.27
480136294,Sean,Moody,Computer Engineering,1,sean.moody@abc.edu,(386) 880-7398,M,27,7.05
940697363,Janice,Obrien,Applied Mathematics,2,janice.obrien@outlook.com,(798) 606-8190,F,27,7.3
477525567,Elizabeth,Ramsey,Civil Engineering,3,elizabeth.ramsey@outlook.com,(683) 924-1517,F,18,7.43
698829068,Christopher,Leonard,Applied Mathematics,3,christopher.leonard@outlook.com,(201) 351-6435,M,26,7.48
112933422,Anthony,Dawson,Applied Statistics,3,anthony.dawson@abc.edu,(474) 282-3990,M,25,8.21
593231810,Catherine,Crawford,Data Analytics,3,catherine.crawford@abc.edu,(222) 985-3622,F,23,7.49
222709813,David,Bernal,Data Analytics,3,david.bernal@outlook.com,(296) 792-5937,M,25,7.08
334788047,Jonathan,Cameron,Mechanical Engineering,1,jonathan.cameron@msn.com,(895) 423-1919,M,24,7.16
173784221,Virginia,Sanchez,Data Science,3,virginia.sanchez@abc.edu,(416) 164-8666,F,23,8.23
146979648,Doris,Perry,Statistics,2,doris.perry@abc.edu,(641) 418-7102,F,20,7.54
720274784,Ronald,Mccarty,Mechanical Engineering,2,ronald.mccarty@abc.edu,(165) 222-1003,M,25,7.62
765991690,Elijah,Phillips,Mathematics,2,elijah.phillips@abc.edu,(931) 617-7102,M,21,7.39
450925624,Bruce,Castro,Chemical Engineering,3,bruce.castro@abc.edu,(846) 103-1182,M,22,7.49
467915198,Dorothy,Cervantes,Data Analytics,2,dorothy.cervantes@abc.edu,(946) 715-8330,F,26,6.83
221778646,Lisa,Meza,Statistics,3,lisa.meza@yahoo.com,(509) 569-9116,F,28,7.24
488329539,Randy,Robertson,Statistics,2,randy.robertson@abc.edu,(343) 117-8318,M,25,7.11
758734534,Abigail,Jensen,Artificial Intelligence,3,abigail.jensen@abc.edu,(891) 736-7336,F,25,6.9
493494400,Samuel,Ponce,Computer Engineering,4,samuel.ponce@abc.edu,(240) 279-4093,M,27,8.22
145127616,Natalie,Frank,Statistics,4,natalie.frank@abc.edu,(494) 996-1941,F,24,7.68
677974469,Doris,Avalos,Mathematics,4,doris.avalos@outlook.com,(811) 129-8610,F,25,7.79
537981648,Beverly,Sweeney,Data Science,1,beverly.sweeney@gmail.com,(858) 361-4003,O,28,6.88
252397667,Alexis,Tate,Computer Engineering,2,alexis.tate@abc.edu,(491) 206-4415,F,26,7.14
796197492,Rebecca,Tanner,Computer Engineering,3,rebecca.tanner@msn.com,(861) 200-4102,O,27,7.7
452513143,Jason,Simmons,Mathematics,3,jason.simmons@abc.edu,(644) 954-1047,M,23,7.07
197967446,Karen,Summers,Astronomy,3,karen.summers@abc.edu,(589) 505-3992,F,21,7.75
648864945,Hannah,Potter,Biophysics,3,hannah.potter@outlook.com,(306) 253-5466,F,25,7.05
910232032,Jack,Beasley,Computer Science,2,jack.beasley@abc.edu,(778) 721-7445,M,25,6.54
356389357,Diane,Ayers,Data Analytics,3,diane.ayers@gmail.com,(929) 387-5903,O,28,7.22
794684717,Billy,Conner,Mechanical Engineering,4,billy.conner@abc.edu,(135) 253-2164,M,26,8.05
506809716,Linda,Crane,Software Development,1,linda.crane@outlook.com,(661) 541-7550,F,20,7.62
518721530,Gregory,Mayer,Software Development,3,gregory.mayer@abc.edu,(384) 491-5490,M,25,7.58
613282308,Sophia,Ward,Computer Science,4,sophia.ward@hotmail.com,(634) 852-3470,F,22,7.4
360146845,Gabriel,Dyer,Data Science,3,gabriel.dyer@abc.edu,(562) 910-6505,M,24,8.14
224419444,Debra,Yoder,Data Science,3,debra.yoder@hotmail.com,(170) 748-6808,O,22,7.63
299836053,Juan,Buck,Artificial Intelligence,3,juan.buck@abc.edu,(956) 943-4943,M,22,6.25
943001124,Julie,Pitts,Computer Engineering,2,julie.pitts@abc.edu,(636) 807-8430,O,28,7.46
637655164,Margaret,Flores,Computer Engineering,3,margaret.flores@abc.edu,(934) 711-9035,F,25,8.36
801936908,John,Martin,Data Analytics,4,john.martin@gmail.com,(560) 788-4124,M,20,7.46
165749503,James,Diaz,Geological Engineering,3,james.diaz@abc.edu,(133) 278-1661,M,29,8.93
667500698,Jesse,Flynn,Statistics,3,jesse.flynn@abc.edu,(803) 626-3139,O,22,7.61
158914963,Benjamin,Yoder,Physics,2,benjamin.yoder@msn.com,(302) 687-3957,M,23,7.75
778082545,Brandon,Zavala,Astronomy,3,brandon.zavala@yahoo.com,(408) 790-5178,M,26,7.03
956196718,Gerald,Dixon,Data Science,3,gerald.dixon@yahoo.com,(484) 417-2841,M,23,6.93
124681830,Andrew,Vance,Computer Science,2,andrew.vance@abc.edu,(486) 783-3478,M,23,7.58
554149854,Kevin,Mcintosh,Mechanical Engineering,3,kevin.mcintosh@yahoo.com,(578) 959-4394,M,23,8.0
739862946,David,Montoya,Geological Engineering,2,david.montoya@outlook.com,(965) 684-5088,M,22,7.69
986050459,Aaron,Sims,Computer Science,1,aaron.sims@abc.edu,(215) 111-8668,O,28,7.51
727617495,Lawrence,Duran,Biophysics,3,lawrence.duran@abc.edu,(416) 653-6797,M,25,7.34
312847714,Brenda,Flores,Electrical Engineering,3,brenda.flores@abc.edu,(192) 392-8937,F,27,7.15
818178897,Donald,Harrison,Electrical Engineering,3,donald.harrison@hotmail.com,(492) 926-3632,M,19,8.05
614532708,Raymond,Guzman,Geological Engineering,2,raymond.guzman@gmail.com,(912) 219-7033,M,23,7.52
271522930,Kyle,Lynch,Chemical Engineering,3,kyle.lynch@yahoo.com,(425) 774-2348,M,20,7.14
626810601,Thomas,Sparks,Geological Engineering,3,thomas.sparks@abc.edu,(719) 904-7516,M,21,6.89
473825714,Kenneth,Lara,Computer Engineering,3,kenneth.lara@abc.edu,(384) 183-2673,M,25,6.59
818134958,Karen,Reynolds,Geological Engineering,3,karen.reynolds@yahoo.com,(504) 955-7486,F,21,8.23
766299232,Keith,Drake,Data Science,3,keith.drake@abc.edu,(858) 957-4099,M,23,6.89
244055300,Kathleen,Mcdowell,Data Analytics,3,kathleen.mcdowell@abc.edu,(396) 334-2830,F,28,7.5
877197653,Logan,Alexander,Applied Mathematics,3,logan.alexander@msn.com,(217) 350-7365,M,25,7.34
600916656,Ethan,Rowland,Civil Engineering,3,ethan.rowland@abc.edu,(838) 883-3051,M,27,7.33
971027671,Betty,Parker,Artificial Intelligence,4,betty.parker@abc.edu,(402) 427-2735,F,24,7.36
786320261,Brandon,Branch,Artificial Intelligence,3,brandon.branch@abc.edu,(414) 913-8372,M,20,7.95
110019694,George,Benson,Mechanical Engineering,3,george.benson@abc.edu,(518) 590-7484,M,26,7.57
379908997,Thomas,Barton,Geological Engineering,4,thomas.barton@abc.edu,(422) 474-2175,M,20,7.16
459616472,Joan,Cline,Mathematics,3,joan.cline@gmail.com,(309) 703-7393,F,26,7.54
783560840,Deborah,Strong,Computer Science,4,deborah.strong@abc.edu,(280) 221-8258,F,25,7.24
762539395,Denise,Mccarty,Computer Security,3,denise.mccarty@msn.com,(634) 688-1507,O,28,6.95
786382903,Keith,Blanchard,Software Development,1,keith.blanchard@abc.edu,(865) 455-8336,M,23,8.02
233945195,Donna,Byrd,Software Development,1,donna.byrd@abc.edu,(815) 425-6611,F,19,7.8
555110059,Charlotte,Becker,Computer Science,3,charlotte.becker@abc.edu,(473) 537-2054,F,21,7.52
531854984,Philip,Cook,Computer Science,3,philip.cook@abc.edu,(330) 437-5178,M,25,6.76
873612012,Jean,Burton,Applied Statistics,4,jean.burton@abc.edu,(876) 137-5267,F,23,7.63
287854224,Aaron,Spence,Software Development,3,aaron.spence@abc.edu,(917) 320-2150,M,23,7.61
276936575,Theresa,Atkinson,Computer Engineering,3,theresa.atkinson@abc.edu,(789) 923-8022,F,22,7.83
307068925,Joe,Shah,Electrical Engineering,4,joe.shah@abc.edu,(908) 648-8032,M,24,7.72
470459038,Ralph,Solis,Physics,3,ralph.solis@abc.edu,(920) 784-4035,M,21,7.56
374154428,Christian,Solomon,Geological Engineering,3,christian.solomon@hotmail.com,(538) 902-2240,M,20,6.85
535458018,Charles,Shields,Physics,2,charles.shields@abc.edu,(273) 182-4640,M,22,7.32
770835804,Pamela,Compton,Civil Engineering,1,pamela.compton@msn.com,(392) 891-2898,F,29,8.25
325461245,Frank,Hinton,Physics,3,frank.hinton@outlook.com,(844) 812-7469,M,25,8.29
539286032,Andrew,Mcdonald,Astronomy,2,andrew.mcdonald@abc.edu,(903) 816-8952,M,22,6.77
588595841,Pamela,Myers,Artificial Intelligence,4,pamela.myers@yahoo.com,(522) 361-1813,O,24,6.87
163567842,Dorothy,Burnett,Electrical Engineering,3,dorothy.burnett@gmail.com,(570) 619-2774,F,24,8.26
934905871,James,Weiss,Artificial Intelligence,3,james.weiss@outlook.com,(583) 956-7820,M,22,7.48
163478094,Kelly,Warner,Data Analytics,3,kelly.warner@outlook.com,(491) 226-3284,F,27,7.37
193789406,Peter,Mckenzie,Digital Media,3,peter.mckenzie@outlook.com,(968) 976-4528,O,21,7.62
802142709,Willie,Bradley,Chemical Engineering,3,willie.bradley@yahoo.com,(643) 386-7723,M,23,7.68
975011415,Ethan,Stanley,Data Science,2,ethan.stanley@hotmail.com,(880) 306-3956,M,27,7.29
678694513,Maria,Page,Electrical Engineering,3,maria.page@abc.edu,(628) 968-5045,F,27,7.47
820602797,Danielle,Mcmillan,Mathematics,4,danielle.mcmillan@abc.edu,(124) 563-9950,F,23,7.93
340539512,Doris,Montes,Statistics,2,doris.montes@abc.edu,(738) 487-1328,F,24,7.62
496835416,Angela,Duffy,Biophysics,2,angela.duffy@gmail.com,(539) 844-3313,F,24,7.6
915714920,Joshua,Anderson,Digital Media,4,joshua.anderson@msn.com,(895) 724-4852,M,27,7.04
736151873,Julie,Sutton,Geological Engineering,3,julie.sutton@yahoo.com,(468) 608-7964,F,26,7.73
669703807,Jason,Cervantes,Civil Engineering,3,jason.cervantes@abc.edu,(346) 895-9035,O,24,8.45
162604679,Jean,Petersen,Mechanical Engineering,2,jean.petersen@hotmail.com,(300) 108-1797,F,26,7.33
629716515,Jean,Barry,Astronomy,1,jean.barry@yahoo.com,(143) 626-5585,F,24,6.28
862415649,Lisa,Torres,Geological Engineering,2,lisa.torres@abc.edu,(961) 285-1650,F,24,8.01
907420205,Anna,Munoz,Astronomy,3,anna.munoz@abc.edu,(178) 135-6942,F,27,7.88
190692209,Hannah,Mata,Electrical Engineering,3,hannah.mata@abc.edu,(692) 382-4306,F,28,6.64
158020985,Patricia,Crosby,Applied Statistics,2,patricia.crosby@msn.com,(281) 521-1217,F,25,7.4
948159112,Aaron,Cordova,Electrical Engineering,2,aaron.cordova@gmail.com,(776) 610-6342,M,26,7.28
947550672,Jessica,Barron,Computer Security,3,jessica.barron@abc.edu,(369) 189-9628,F,25,7.61
779970707,Brittany,Miller,Artificial Intelligence,3,brittany.miller@abc.edu,(948) 754-7397,F,28,8.05
165206485,Robert,Shaw,Electrical Engineering,3,robert.shaw@hotmail.com,(624) 510-8417,M,21,7.06
795633857,David,Blevins,Electrical Engineering,3,david.blevins@abc.edu,(742) 848-8553,M,23,7.91
489828891,Margaret,Mclaughlin,Physics,3,margaret.mclaughlin@abc.edu,(562) 805-1002,F,23,7.43
769782294,Ronald,Williams,Computer Engineering,4,ronald.williams@gmail.com,(220) 103-2869,M,27,7.07
343334727,Kathryn,Calderon,Artificial Intelligence,3,kathryn.calderon@msn.com,(531) 699-6529,F,26,7.67
714770675,Kenneth,Paul,Mathematics,4,kenneth.paul@abc.edu,(948) 928-7120,O,27,7.62
225243063,Wayne,Meza,Applied Statistics,4,wayne.meza@abc.edu,(567) 184-4476,M,23,6.82
214714051,Sara,Mckee,Civil Engineering,3,sara.mckee@abc.edu,(495) 934-1197,F,25,7.91
665171530,Joe,Jefferson,Electrical Engineering,2,joe.jefferson@yahoo.com,(762) 785-9293,O,23,6.93
973968917,Billy,Sandoval,Civil Engineering,3,billy.sandoval@hotmail.com,(900) 358-1897,M,22,7.59
226303555,Debra,Arroyo,Biophysics,3,debra.arroyo@abc.edu,(129) 190-4631,F,29,7.2
912303007,Grace,Casey,Data Science,4,grace.casey@abc.edu,(533) 582-2280,F,25,7.29
631075405,Barbara,Hancock,Computer Engineering,3,barbara.hancock@abc.edu,(735) 852-7201,F,23,8.21
535123891,Kathryn,Stout,Astronomy,3,kathryn.stout@abc.edu,(469) 231-7196,F,25,7.2
783479691,Cheryl,Mathews,Mathematics,2,cheryl.mathews@abc.edu,(581) 300-9623,F,21,7.56
612105699,Jean,David,Astronomy,3,jean.david@abc.edu,(773) 847-3170,F,25,7.24
879322326,Ruth,Jefferson,Computer Engineering,4,ruth.jefferson@hotmail.com,(293) 417-8350,F,25,6.79
622498488,Mary,Powell,Astronomy,3,mary.powell@msn.com,(535) 260-5669,F,26,7.96
319843671,Debra,Townsend,Physics,4,debra.townsend@gmail.com,(555) 200-1473,F,27,7.87
530779059,Gloria,Gutierrez,Biophysics,3,gloria.gutierrez@yahoo.com,(681) 645-8677,F,22,7.19
185561599,Nathan,Hart,Applied Statistics,3,nathan.hart@hotmail.com,(117) 795-9675,M,27,7.16
317938654,Bobby,Moody,Geological Engineering,2,bobby.moody@hotmail.com,(466) 675-3745,M,23,7.03
394220651,Billy,Dunn,Astronomy,3,billy.dunn@msn.com,(566) 166-1206,M,24,7.4
584060710,Stephanie,Porter,Computer Engineering,1,stephanie.porter@abc.edu,(620) 556-6478,F,30,7.1
575132469,Eugene,Nicholson,Applied Statistics,3,eugene.nicholson@abc.edu,(129) 527-7423,M,21,7.36
661514127,Rachel,Moyer,Chemical Engineering,4,rachel.moyer@yahoo.com,(211) 362-3860,F,21,8.27
423948781,Scott,Truong,Computer Science,3,scott.truong@abc.edu,(266) 859-8694,O,26,7.92
292893312,Albert,Proctor,Computer Security,3,albert.proctor@abc.edu,(214) 992-6318,M,27,7.82
522525118,Stephanie,Carrillo,Chemical Engineering,3,stephanie.carrillo@gmail.com,(187) 988-9571,O,26,7.03
136277515,Nicholas,Morton,Statistics,2,nicholas.morton@gmail.com,(924) 122-5068,M,20,8.02
246729927,Lawrence,Buchanan,Digital Media,3,lawrence.buchanan@abc.edu,(393) 535-2408,M,21,7.92
938356677,Olivia,George,Mathematics,2,olivia.george@hotmail.com,(879) 254-3619,F,22,6.53
222993327,Shirley,Sierra,Software Development,4,shirley.sierra@abc.edu,(174) 469-1329,F,26,8.16
260171796,Pamela,Mckenzie,Mechanical Engineering,2,pamela.mckenzie@hotmail.com,(153) 965-2732,F,20,7.67
612775063,Laura,Vaughan,Applied Mathematics,4,laura.vaughan@abc.edu,(964) 916-1349,F,21,8.18
931534438,Lisa,Haynes,Applied Mathematics,3,lisa.haynes@msn.com,(493) 830-4083,F,28,7.37
681934957,Henry,Mays,Mathematics,2,henry.mays@abc.edu,(887) 564-3517,M,27,7.57
158698329,Gerald,Zuniga,Applied Statistics,2,gerald.zuniga@yahoo.com,(382) 717-8233,M,24,7.99
365194970,Aaron,Wise,Biophysics,2,aaron.wise@abc.edu,(853) 915-2548,M,29,7.49
309441098,Grace,Carter,Artificial Intelligence,3,grace.carter@abc.edu,(747) 302-4902,F,27,7.2
157333428,Emma,Richardson,Biophysics,2,emma.richardson@abc.edu,(509) 100-4841,F,24,7.11
